id,customerid,neighborhood,city,state,zipcode,status
9Efd9Dbc-5149-43C6-A073-6297474Abffb,422D67Ee-01F7-4C73-9309-3Dca9A8C86E8,Lírio Do Vale,Manaus,Am,69038561,1
D5F799C2-587E-4E7C-A727-A502027B2226,422D67Ee-01F7-4C73-9309-3Dca9A8C86E8,Lírio Do Vale,Manaus,Am,69038561,1
E8Dde311-B73D-4957-9951-Ee9Dca913633,422E1047-8981-4A96-B02C-6C373D931909,Parque Mandaqui,São Paulo,Sp,02422090,1
15F609B6-602A-48C0-Bbdd-Ff0Bba7Cbf01,422E2Ca3-F24E-46F8-A4Ec-C4C3Ef28Ee33,Tamboré,Santana De Parnaíba,Sp,06543175,1
C7F377E8-38Dc-4Eac-9C4F-6612921Cd05D,42308543-Fe77-436C-9286-Dbdc9A4864Af,Vila Gustavo Correia,Carapicuíba,Sp,06310300,1
13501B4D-3530-48D4-B3B3-2D63C3D9C3B9,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
2D6F54Eb-1D91-4280-B9E1-5Ae56923340D,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
2Fa8C9Af-37C0-4Adf-932A-Bfb20C689544,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
30914382-50Ee-4B88-8D87-9C19520Fc778,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
5F056E5E-737D-4Ec7-8076-F7B27481C32C,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
60749Ff4-E350-4A6F-9C19-1379496C4F58,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
7B10E4C9-4B75-49D8-8E58-Eb2C7Af0Fb06,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
824924A3-772E-4490-Bca2-1D43Bbea2Cf7,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
B454Bccd-Bc00-4C28-885E-A0F394Bb9Fc3,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
B8526664-9157-47B7-A1E5-309E750E257F,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
Cb166757-6D1E-4421-Ba67-72C57Fb20F7F,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
Cc8E7C30-54B5-42Df-83Ee-96A4E024B19A,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
D7589926-F96A-4903-894A-Fa0C998Bfd6B,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
D991937A-F4Bf-4097-B791-60Fe58D19Aa7,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
E08506B9-A62A-4827-B18D-B1A7B85Aa36E,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
E842Ba31-Fcad-49A2-9Fe9-Ee18956Fd38E,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
Ea719B27-E005-403C-9487-08435F211B29,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
F1A5F217-Fbf6-4A90-A593-F696B3Ede172,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
F630D434-064B-4067-Bccd-5E8E9E2E2Fd2,4231Fc15-484F-4E92-A122-C0D68Ba53Ca2,Rio Verde,Parauapebas,Pa,68515000,1
727223E6-264F-4A89-8541-D1Ad858Fc51A,4232Da6A-18C2-43B2-8311-Ffc91972Dfb7,Vila Antonieta,Guarulhos,Sp,07080124,1
848C02A9-Df1F-446C-A427-3Df2Fc4C8Aca,42340Bf4-282C-4694-863A-1C392F88086D,Lírio Do Vale,Manaus,Am,69038561,1
94288C0A-97D2-4A51-8B09-83A2Cfef17C7,42340Bf4-282C-4694-863A-1C392F88086D,Lírio Do Vale,Manaus,Am,69038561,1
16C0D583-5663-4120-852A-8739Eb767D3D,42344213-3Ba6-4F36-A23E-Debc701C84C4,Jardim Hebrom,São Paulo,Sp,02329050,1
8Ff7B70A-3212-4Ac3-8F4F-B477A730E688,4234E7Ba-Afca-413D-8856-E5D6F13Ec066,Pricumã,Boa Vista,Rr,69309405,1
08B562B4-1A4A-47Fc-A737-3019803C6C8D,4237Aaf3-5010-4B5D-Ab43-Bbf3595Be944,Centro,Sao Paulo,Sp,01013000,1
1F237A3D-765A-4Bf8-Aebc-D241A85909Fc,4237Aaf3-5010-4B5D-Ab43-Bbf3595Be944,Jardim Peri,São Paulo,Sp,00000000,1
3D347643-8Be9-4294-B465-Db7Da15A74E5,4237Aaf3-5010-4B5D-Ab43-Bbf3595Be944,Vila Do Castelo,Sao Paulo,Sp,04438000,1
8Af70F6E-3A6E-43Bc-9Cad-D5321D15Aa8A,4237Aaf3-5010-4B5D-Ab43-Bbf3595Be944,Centro,Sao Paulo,Sp,01013910,1
8D5E9E40-42Dc-4F90-B98C-5Ec55Dcc588A,4237Aaf3-5010-4B5D-Ab43-Bbf3595Be944,Vila Do Castelo,Sao Paulo,Sp,04438900,1
71308238-6Dcc-4278-8E5E-B10E8009242E,4239966E-239F-4Dec-94C7-A86959732232,Vila Nivi,São Paulo,Sp,02251001,1
8E4Cc984-5Fc2-4747-9Fe8-30Adf046Dd01,4239966E-239F-4Dec-94C7-A86959732232,Jardim Olavo Bilac,São João De Meriti,Rj,25575310,1
92D587Cd-Db51-4527-8Aae-05A0206Ccb74,4239Eaa0-398E-4387-Ab86-A891Da7Df62F,Vila Maricy,Guarulhos,Sp,07130190,1
2946A581-62Be-47Bd-86Dc-D69550Fdd9D1,423Ae099-A959-4A42-81D3-8565F2Eee47F,Vila Gustavo,São Paulo,Sp,02249000,1
37C42014-B164-478E-Bcea-03F55D0F2355,423Ae099-A959-4A42-81D3-8565F2Eee47F,Vila Gustavo,São Paulo,Sp,02249040,1
503570Fc-Da61-4D82-Bd3E-57D0F18D62A5,423Ae099-A959-4A42-81D3-8565F2Eee47F,Jardim Paraíso,São Paulo,Sp,02417130,1
560De496-4F38-4F01-A170-0F05297Bba2C,423Ae099-A959-4A42-81D3-8565F2Eee47F,Jardim Modelo,São Paulo,Sp,02226-000,1
735A7812-5Cb3-4A66-B33B-626E0D14B973,423Ae099-A959-4A42-81D3-8565F2Eee47F,Jardim Modelo,São Paulo,Sp,02226-000,1
773C7Cc6-4D40-4445-9Cc6-D6D83062Fa18,423Ae099-A959-4A42-81D3-8565F2Eee47F,Jardim Modelo,São Paulo,Sp,02226-000,1
79013Cc5-E901-46Db-B7F3-8E90Be6333Ea,423Ae099-A959-4A42-81D3-8565F2Eee47F,Alto Da Mooca,São Paulo,Sp,03187060,1
